Timestamp,Open,High,Low,Close,Volume
2021-08-18,3241.99,3254.0975,3200.0,160.061,2804311
2021-08-19,3194.02,3233.0,3182.4637,159.3875,3782862
2021-08-20,3203.8725,3207.81,3175.76,159.9975,3358428
2021-08-23,3211.9,3280.9,3210.005,163.2935,3268131
2021-08-24,3280.0,3315.4942,3274.58,165.289,2551841
2021-08-25,3309.87,3321.0,3286.15,164.959,1680306
2021-08-26,3299.0,3332.0,3296.0,165.8,2098761
2021-08-27,3333.23,3352.32,3313.75,167.4815,2402369
2021-08-30,3357.425,3445.0,3355.22,171.0785,3192244
2021-08-31,3424.8,3472.58,3395.59,173.5395,4356413
2021-09-01,3496.396,3527.0,3475.24,173.95,3629911
2021-09-02,3494.76,3511.9608,3455.0,173.156,2925594
2021-09-03,3452.0,3482.67,3436.44,173.9025,2578324
2021-09-07,3478.0,3528.09,3476.94,175.4645,2741184
2021-09-08,3511.65,3545.63,3495.67,176.275,3053364
2021-09-09,3526.02,3549.99,3480.37,174.208,2719241
2021-09-10,3501.8308,3508.45,3462.9055,173.4575,2397269
2021-09-13,3482.8,3497.96,3438.0001,172.8585,2569022
2021-09-14,3475.55,3486.806,3437.7104,172.5,1936897
2021-09-15,3442.52,3485.42,3402.01,173.7895,2957537
2021-09-16,3459.96,3492.55,3446.1432,174.412,2583598
2021-09-17,3488.4146,3497.41,3452.13,173.126,4616556
2021-09-20,3396.0,3419.0,3305.01,167.7865,4669130
2021-09-21,3375.0,3379.7,3332.39,167.1815,2780878
2021-09-22,3351.0,3389.0,3341.05,169.0025,2411403
2021-09-23,3380.05,3428.96,3380.05,170.8,2379414
2021-09-24,3402.01,3429.26,3393.4,171.276,2116241
2021-09-27,3371.5,3415.57,3339.61,170.29,3634450
2021-09-28,3357.71,3369.19,3290.1001,165.798,4430819
2021-09-29,3322.11,3351.3,3297.87,165.056,2562268
2021-09-30,3316.0,3327.85,3273.99,164.252,2847033
2021-10-01,3289.01,3309.1746,3255.94,164.163,2835617
2021-10-04,3279.39,3279.99,3176.25,159.489,4523057
2021-10-05,3204.5,3260.73,3202.464,161.05,3269208
2021-10-06,3213.53,3264.34,3198.62,163.1005,2532977
2021-10-07,3291.54,3325.746,3283.06,165.1215,2409075
2021-10-08,3317.0,3321.43,3288.2,164.431,1998217
2021-10-11,3275.0,3292.5899,3238.1,162.315,2034203
2021-10-12,3257.0,3267.528,3236.28,162.3665,1819571
2021-10-13,3269.71,3288.38,3261.0889,164.214,2425086
2021-10-14,3302.4541,3312.6,3290.78,164.993,2112020
2021-10-15,3311.42,3410.42,3304.0,170.451,5179941
2021-10-18,3388.3576,3449.17,3385.1,172.337,3174115
2021-10-19,3434.29,3454.69,3422.0,172.2075,2386079
2021-10-20,3452.66,3462.86,3400.37,170.753,2139777
2021-10-21,3414.25,3440.28,3403.0,171.7505,1881385
2021-10-22,3421.0,3429.84,3331.3,166.7775,3139053
2021-10-25,3335.0,3347.7997,3297.7,166.0185,2225956
2021-10-26,3349.51,3416.12,3343.98,168.8035,2698342
2021-10-27,3388.0,3437.0,3371.4534,169.6245,2702224
2021-10-28,3402.095,3479.0,3386.0,172.3285,5708733
2021-10-29,3300.02,3374.82,3273.32,168.6215,6486077
2021-11-01,3361.8,3375.86,3292.02,165.9055,3582044
2021-11-02,3315.01,3331.115,3283.55,165.6375,2562277
2021-11-03,3309.0,3394.92,3297.52,169.2,3397189
2021-11-04,3370.0,3498.625,3365.0001,173.85,5353020
2021-11-05,3477.0,3566.25,3476.98,175.9495,4996951
2021-11-08,3523.24,3579.0,3487.86,174.449,3073992
2021-11-09,3515.25,3593.77,3501.425,178.8115,4257658
2021-11-10,3563.87,3605.45,3463.09,174.1025,4027422
2021-11-11,3513.0,3543.24,3467.47,173.625,2264406
2021-11-12,3485.0,3540.7262,3447.05,176.2575,2636157
2021-11-15,3537.0,3593.88,3525.81,177.284,2929719
2021-11-16,3539.0,3576.5,3525.1466,177.035,2217071
2021-11-17,3564.72,3587.245,3545.35,177.45,2560270
2021-11-18,3566.35,3704.2,3561.0,184.803,5703538
2021-11-19,3712.69,3762.145,3675.72,183.8285,4946203
2021-11-22,3676.3768,3713.455,3567.5,178.6285,4847850
2021-11-23,3585.04,3621.05,3527.71,179.002,3692246
2021-11-24,3562.67,3613.64,3536.85,179.0205,2328018
2021-11-26,3602.095,3633.5,3504.15,175.228,2991297
2021-11-29,3547.6443,3596.0,3531.5001,178.0785,3265557
2021-11-30,3563.5,3585.77,3492.01,175.3535,4001107
2021-12-01,3545.0,3559.88,3441.6,172.186,3756995
2021-12-02,3460.0,3492.7,3423.75,171.868,3236288
2021-12-03,3455.0,3469.865,3338.6,169.4895,4035550
2021-12-06,3393.0,3473.91,3338.69,171.3685,3443000
2021-12-07,3492.0,3549.99,3466.69,176.1645,3320536
2021-12-08,3523.01,3543.6,3495.01,176.158,2262683
2021-12-09,3515.0,3539.39,3482.79,174.171,2303091
2021-12-10,3508.34,3518.54,3410.0,172.212,3034488
2021-12-13,3440.0,3442.0,3382.6,169.5675,3108450
2021-12-14,3351.0,3389.98,3328.8,169.0915,2798764
2021-12-15,3371.96,3472.0,3303.9,173.315,3789713
2021-12-16,3467.3714,3483.32,3363.205,168.871,3043842
2021-12-17,3354.21,3417.97,3312.271,170.0175,4287758
2021-12-20,3337.0,3357.4851,3312.0,167.079,2868633
2021-12-21,3357.01,3414.3299,3312.95,170.417,2797791
2021-12-22,3385.395,3441.0,3370.01,171.037,2751773
2021-12-23,3408.56,3439.5,3403.0,171.0685,1839412
2021-12-27,3420.74,3458.86,3384.31,169.6695,2942341
2021-12-28,3403.65,3443.5176,3382.71,170.661,2735593
2021-12-29,3416.8,3424.24,3372.0101,169.201,1787702
2021-12-30,3394.0,3417.76,3370.48,168.6445,1879155
2021-12-31,3379.12,3387.0,3331.17,166.717,2381786
2022-01-03,3351.0,3414.07,3323.21,170.4045,3193457
2022-01-04,3408.76,3428.0,3326.99,167.522,3536258
2022-01-05,3337.66,3342.525,3287.14,164.357,3215136
2022-01-06,3269.01,3296.0,3238.7442,163.254,2597889
2022-01-07,3276.78,3304.865,3240.62,162.554,2330295
2022-01-10,3211.71,3233.23,3126.09,161.486,4389915
2022-01-11,3230.0,3327.0,3214.03,165.362,3115005
2022-01-12,3331.5,3337.56,3288.34,165.207,2501456
2022-01-13,3305.01,3324.4299,3221.82,161.214,2609415
2022-01-14,3203.0,3245.0,3196.01,162.138,2298743
2022-01-18,3182.1,3194.6899,3153.29,158.9175,3306866
2022-01-19,3175.24,3185.0,3125.0,156.299,2620856
2022-01-20,3135.32,3160.0,3027.02,151.6675,3598666
2022-01-21,2999.0,3018.0,2841.408,142.643,8198572
2022-01-24,2780.0,2898.9,2707.04,144.544,7802237
2022-01-25,2844.85,2872.0,2762.9,139.986,4541233
2022-01-26,2895.0,2903.695,2746.37,138.8725,4780085
2022-01-27,2816.0,2884.87,2787.0,139.6375,3875790
2022-01-28,2817.21,2879.96,2758.585,143.978,3719599
2022-01-31,2895.0,3007.21,2886.0101,149.5735,3915372
2022-02-01,3000.0,3034.16,2952.5548,151.1935,2960992
2022-02-02,3101.0085,3101.5,2977.2717,150.6125,4366488
2022-02-03,2834.75,2884.95,2766.66,138.8455,11276568
2022-02-04,3112.13,3224.0,3012.16,157.6395,12672793
2022-02-07,3170.4,3253.815,3145.0,157.9355,5131219
2022-02-08,3135.01,3235.85,3111.01,161.4135,3802018
2022-02-09,3257.47,3276.69,3205.0,161.1895,3439280
2022-02-10,3167.0,3214.33,3155.0,159.0035,3413406
2022-02-11,3162.6902,3180.0,3054.675,153.2935,3855022
2022-02-14,3035.02,3168.9663,3033.0,155.167,4161535
2022-02-15,3152.11,3160.14,3092.75,156.5105,2848533
2022-02-16,3115.81,3176.68,3094.69,158.1005,2635214
2022-02-17,3162.92,3206.975,3090.0,154.6525,3201625
2022-02-18,3109.99,3109.99,3017.86,152.6015,3180205
2022-02-22,3009.57,3059.65,2969.71,150.1975,3246383
2022-02-23,3033.01,3035.26,2893.02,144.827,3212178
2022-02-24,2796.75,3034.98,2790.0,151.358,5039288
2022-02-25,3011.0,3079.8,2984.27,153.7885,3119768
2022-02-28,3048.5,3089.0,3017.0,153.563,2884171
2022-03-01,3054.65,3081.98,2999.54,151.142,2243679
2022-03-02,3016.98,3059.99,2975.0,152.0525,2366736
2022-03-03,3070.63,3078.58,2937.12,147.8985,3259860
2022-03-04,2943.18,2957.0,2876.14,145.641,3049156
2022-03-07,2908.87,2921.89,2748.33,137.453,4346693
2022-03-08,2733.67,2813.99,2671.45,136.0145,4583129
2022-03-09,2790.0,2805.0,2736.56,139.279,4132833
2022-03-10,2913.7,2973.485,2879.56,146.8175,6753145
2022-03-11,2991.49,2993.5,2907.38,145.5245,3445028
2022-03-14,2919.62,2949.0,2817.68,141.853,3704305
2022-03-15,2857.0,2959.7,2840.0,147.3665,3779230
2022-03-16,2970.0,3063.0,2947.07,153.104,4247884
2022-03-17,3052.81,3149.97,3042.8,157.239,3646742
2022-03-18,3136.26,3231.88,3120.22,161.2505,5063616
2022-03-21,3222.415,3261.68,3191.06,161.4915,3283142
2022-03-22,3236.11,3323.34,3233.98,164.889,3147275
2022-03-23,3274.1,3327.4,3253.74,163.408,2790593
2022-03-24,3274.99,3282.37,3201.0,163.6495,2839903
2022-03-25,3280.0,3307.37,3245.0,164.7735,2355611
2022-03-28,3299.5,3380.75,3298.0,168.9905,2992691
2022-03-29,3407.68,3416.63,3357.37,169.315,3307680
2022-03-30,3370.19,3379.01,3310.0,166.301,2808363
2022-03-31,3328.895,3329.9,3259.07,162.9975,2998289
2022-04-01,3282.99,3316.54,3246.39,163.56,2854475
2022-04-04,3282.5,3367.89,3264.11,168.3465,2500398
2022-04-05,3354.83,3362.21,3265.3201,164.055,2619553
2022-04-06,3233.01,3244.0,3145.09,158.756,3952788
2022-04-07,3168.0,3201.58,3090.23,157.7845,3406839
2022-04-08,3135.0,3147.37,3084.615,154.4605,2300083
2022-04-11,3054.26,3082.7299,3010.69,151.122,2605617
2022-04-12,3073.85,3101.98,3007.66,150.7875,2758872
2022-04-13,3000.37,3120.5,2992.0,155.541,2669544
2022-04-14,3107.8,3117.94,3029.435,151.7065,2579907
2022-04-18,3030.47,3080.79,3005.01,152.785,2325676
2022-04-19,3040.59,3172.98,3031.01,158.1155,2746321
2022-04-20,3152.05,3152.05,3072.07,153.998,2958600
2022-04-21,3094.28,3134.76,2951.79,148.296,3198466
2022-04-22,2965.0,2992.3,2873.9501,144.35,3653929
2022-04-25,2880.46,2924.43,2846.1309,146.074,3093749
2022-04-26,2896.0,2897.115,2778.59,139.391,3781514
2022-04-27,2803.83,2838.97,2715.67,138.167,3566815
2022-04-28,2843.56,2918.75,2806.0,144.5965,5865847
2022-04-29,2596.98,2615.22,2432.5,124.2815,13633086
2022-05-02,2448.02,2493.365,2367.5,124.5,7439449
2022-05-03,2481.07,2524.41,2456.5,124.2535,3956668
2022-05-04,2472.0,2520.0,2383.66,125.9285,5508760
2022-05-05,2460.0,2469.98,2301.45,116.407,7219561
2022-05-06,2297.0,2381.01,2261.625,114.7725,6212995
2022-05-09,2226.25,2280.0,2159.14,108.789,6406219
2022-05-10,2225.0,2252.85,2143.42,108.859,5271691
2022-05-11,2162.07,2203.12,2088.57,105.372,5485182
2022-05-12,2055.0,2215.615,2048.11,106.9305,6601257
2022-05-13,2181.38,2263.68,2156.0,113.055,4684228
2022-05-16,2262.0,2279.85,2207.0827,110.8105,3728287
2022-05-17,2265.5,2316.0,2225.53,115.3685,3822387
2022-05-18,2228.79,2257.06,2124.975,107.1125,5418959
2022-05-19,2125.61,2200.68,2123.8581,107.319,4407127
2022-05-20,2191.37,2197.9599,2100.1868,107.591,4975032
2022-05-23,2169.22,2176.375,2079.0,107.557,5389868
2022-05-24,2080.5,2108.0,2025.2,104.1,5146734
2022-05-25,2073.11,2163.4999,2073.0,106.775,4656005
2022-05-26,2159.4,2253.3099,2149.07,111.0775,4650130
2022-05-27,2271.0,2303.74,2252.56,115.1465,4683008
2022-05-31,2325.6,2439.8899,2313.5,120.2095,7231708
2022-06-01,2445.12,2503.58,2412.445,121.684,6376449
2022-06-02,2433.68,2512.2,2400.9,125.511,5028034
2022-06-03,2484.0,2488.0,2420.929,122.35,4880166
2022-06-06,125.245,128.99,123.81,124.79,134271125
2022-06-07,122.005,124.1,120.63,123.0,85156712
2022-06-08,122.61,123.75,120.75,121.18,64926594
2022-06-09,119.99,121.3,116.1,116.15,67029842
2022-06-10,113.415,114.5,109.05,109.65,87412245
2022-06-13,104.19,106.54,101.86,103.67,99277742
2022-06-14,104.19,104.88,101.43,102.31,69728761
2022-06-15,103.86,109.06,103.53,107.67,85011060
2022-06-16,104.47,104.58,102.01,103.66,82186301
2022-06-17,102.8,106.98,102.51,106.22,99772147
2022-06-21,108.2,111.6299,103.56,108.68,70901245
2022-06-22,107.43,112.13,107.02,108.95,60040131
2022-06-23,110.39,113.0,107.93,112.44,64345300
2022-06-24,112.38,116.71,111.43,116.46,69867618
2022-06-27,117.09,117.98,112.7,113.22,62133240
2022-06-28,113.5,114.85,107.04,107.4,75172028
2022-06-29,107.38,110.99,106.91,108.92,66375341
2022-06-30,108.11,108.18,102.52,106.21,97679401
2022-07-01,106.29,109.75,105.8469,109.56,73021171
2022-07-05,107.6,114.08,106.3242,113.5,76684414
2022-07-06,113.21,115.48,112.01,114.33,66958884
2022-07-07,113.85,116.99,113.49,116.33,57872323
2022-07-08,114.6,116.58,113.69,115.54,45719694
2022-07-11,114.08,114.3,110.87,111.75,53540019
2022-07-12,112.16,113.23,108.34,109.22,54280257
2022-07-13,107.03,111.78,106.01,110.4,61353812
2022-07-14,110.24,111.18,107.58,110.63,51163140
2022-07-15,112.5,115.59,111.59,113.55,84317816
2022-07-18,115.0,117.24,113.15,113.76,59115419
2022-07-19,115.7,118.95,114.03,118.21,60990043
2022-07-20,118.615,123.475,118.32,122.77,71268322
2022-07-21,123.2,124.85,121.26,124.63,60239892
2022-07-22,125.01,125.5,121.3504,122.42,51463797
2022-07-25,122.695,123.64,120.03,121.14,50221259
2022-07-26,115.79,118.15,114.53,114.81,67075064
2022-07-27,117.31,121.9,117.16,120.97,61582015
2022-07-28,121.57,122.84,118.08,122.28,82245543
2022-07-29,134.9,137.65,132.41,134.95,148892889
2022-08-01,134.96,138.8339,133.51,135.39,76846908
2022-08-02,134.72,137.44,134.09,134.16,61922429
2022-08-03,136.21,140.49,136.05,139.52,71827780
2022-08-04,140.58,143.56,139.55,142.57,70585020
2022-08-05,140.1,142.86,139.6,140.8,50686865
2022-08-08,142.05,144.23,138.29,139.41,52303475
2022-08-09,138.052,138.9523,136.21,137.83,40434715
2022-08-10,142.9,144.6,141.01,142.69,54773819
2022-08-11,143.86,144.49,139.76,140.64,44867336
2022-08-12,142.05,143.57,140.1201,143.55,47643484
2022-08-15,142.8,143.76,141.49,143.18,39014583
2022-08-16,143.905,146.57,142.0,144.78,59102859
2022-08-17,142.69,143.38,140.78,142.1,48149778
2022-08-18,141.32,142.77,140.38,142.3,37458737
2022-08-19,140.47,141.11,137.9142,138.23,47792843
2022-08-22,135.72,136.32,132.85,133.22,50461504
2022-08-23,133.41,134.99,132.95,133.62,36252103
2022-08-24,132.75,135.47,132.1,133.8,38626978
2022-08-25,135.26,137.42,134.28,137.28,37496283
2022-08-26,136.55,137.83,130.5,130.75,53322663
2022-08-29,129.9,131.9499,128.77,129.79,47967685
2022-08-30,131.25,132.0745,126.85,128.73,49202990
2022-08-31,129.45,130.59,126.74,126.77,53648702
2022-09-01,126.0,128.02,123.66,127.82,56636145
2022-09-02,129.5,131.38,126.39,127.51,57429829
2022-09-06,127.92,128.62,124.74,126.11,43689994
2022-09-07,126.12,129.82,125.4,129.48,47834487
2022-09-08,127.72,130.28,127.1,129.82,43988509
2022-09-09,130.91,133.69,130.76,133.27,49422259
2022-09-12,134.095,136.49,134.0,136.45,53826859
2022-09-13,131.01,131.4,126.27,126.82,72694010
2022-09-14,127.364,128.84,126.33,128.55,45316772
2022-09-15,127.38,130.37,125.495,126.28,52887196
2022-09-16,122.78,123.87,120.7,123.53,115667804
2022-09-19,122.16,124.71,121.8,124.66,47279727
2022-09-20,123.35,124.3963,121.14,122.19,47698432
2022-09-21,122.49,123.76,118.45,118.54,58498887
2022-09-22,117.08,118.79,116.26,117.31,54959006
2022-09-23,116.0,116.05,112.06,113.78,65126665
2022-09-26,113.295,117.34,113.13,115.15,62723268
2022-09-27,117.195,118.32,113.05,114.41,60094693
2022-09-28,114.38,118.7,113.8,118.01,55763750
2022-09-29,115.6,116.07,113.06,114.8,58969714
2022-09-30,114.075,116.92,112.84,113.0,59479586
2022-10-03,113.58,116.91,112.45,115.88,50941854
2022-10-04,119.89,123.0,119.79,121.09,62812564
2022-10-05,118.58,121.75,117.69,120.95,48217535
2022-10-06,120.77,121.53,119.5,120.3,42253755
2022-10-07,118.0,118.17,113.88,114.56,54677980
2022-10-10,115.1,116.25,112.43,113.67,42339675
2022-10-11,112.71,115.48,110.39,112.21,56432233
2022-10-12,112.49,113.83,111.4,112.9,45728660
2022-10-13,107.88,113.44,105.345,112.53,86868103
2022-10-14,114.1,114.96,106.6,106.9,67737344
2022-10-17,110.11,114.19,110.09,113.79,62781985
2022-10-18,119.06,119.52,114.79,116.36,65607448
2022-10-19,114.71,116.5932,113.22,115.07,47198122
2022-10-20,113.83,118.24,113.51,115.25,48795104
2022-10-21,114.792,119.59,114.5,119.32,55660485
2022-10-24,119.98,120.39,116.57,119.82,49531523
2022-10-25,119.65,121.3152,118.95,120.6,50934609
2022-10-26,116.0,119.3457,114.76,115.66,69002457
2022-10-27,113.92,114.12,109.77,110.96,129605362
2022-10-28,97.905,103.96,97.66,103.41,223133398
2022-10-31,103.56,104.87,100.74,102.44,99251395
2022-11-01,103.99,104.58,96.06,96.79,153370032
2022-11-02,97.315,97.74,92.01,92.12,135761798
2022-11-03,92.47,93.5,89.02,89.3,136683303
2022-11-04,91.49,92.44,88.04,90.98,129101336
2022-11-07,91.95,92.1,89.04,90.53,77495728
2022-11-08,90.79,91.72,88.23,89.98,88703370
2022-11-09,89.47,89.48,85.87,86.14,90796249
2022-11-10,92.935,98.69,91.65,96.63,173414862
2022-11-11,97.88,101.19,96.66,100.79,111590544
2022-11-14,98.77,100.1199,97.29,98.49,99533072
2022-11-15,103.21,103.79,97.34,98.94,111336317
2022-11-16,96.85,98.4879,95.54,97.12,87958828
2022-11-17,95.37,96.97,94.03,94.85,82617865
2022-11-18,95.95,95.99,92.48,94.14,72428185
2022-11-21,93.97,95.02,90.59,92.46,84330270
2022-11-22,92.62,93.35,90.87,93.2,62191962
2022-11-23,93.24,94.58,92.83,94.13,59414684
2022-11-25,93.79,94.43,93.065,93.41,35088609
2022-11-28,93.93,96.4,93.43,93.95,75062316
2022-11-29,94.04,94.41,91.44,92.42,65567286
2022-11-30,92.47,96.54,91.525,96.54,102805806
2022-12-01,96.99,97.23,94.92,95.5,68487969
2022-12-02,94.475,95.36,93.78,94.13,72496388
2022-12-05,93.05,94.06,90.82,91.01,71535526
2022-12-06,90.5,91.04,87.9,88.25,75503628
2022-12-07,88.34,89.89,87.48,88.46,68086880
2022-12-08,89.24,90.86,87.88,90.35,73305887
2022-12-09,88.9,90.3,88.63,89.09,67398506
2022-12-12,89.21,90.58,87.87,90.55,61999762
2022-12-13,95.23,96.25,90.52,92.49,100212038
2022-12-14,92.502,93.4581,89.87,91.58,70298006
2022-12-15,89.89,89.97,87.47,88.45,84802877
2022-12-16,88.265,89.35,86.73,87.86,146144064
2022-12-19,87.51,87.63,84.51,84.92,83531460
2022-12-20,85.33,86.61,84.33,85.19,74348301
2022-12-21,86.175,87.225,85.21,86.77,59267156
2022-12-22,85.52,85.68,82.25,83.79,81431314
2022-12-23,83.25,85.78,82.9344,85.25,57433655
2022-12-27,84.97,85.35,83.0,83.04,57284035
2022-12-28,82.8,83.48,81.69,81.82,58228575
2022-12-29,82.87,84.55,82.55,84.18,54995895
2022-12-30,83.12,84.05,82.47,84.0,62401194
2023-01-03,85.46,86.96,84.205,85.82,76706040
2023-01-04,86.55,86.98,83.36,85.14,68885123
2023-01-05,85.33,85.42,83.07,83.12,67930825
2023-01-06,83.03,86.4,81.43,86.08,83303361
2023-01-09,87.46,89.48,87.08,87.36,65266056
2023-01-10,87.57,90.185,87.29,89.87,67756601
2023-01-11,90.93,95.26,90.93,95.09,103126183
2023-01-12,96.93,97.19,93.5,95.27,85254781
2023-01-13,94.18,98.37,94.12,98.12,85549432
2023-01-17,98.68,98.89,95.73,96.05,72755001
2023-01-18,97.25,99.32,95.38,95.46,79570370
2023-01-19,94.74,95.44,92.86,93.68,69002663
2023-01-20,93.86,97.354,93.2025,97.25,67481539
2023-01-23,97.56,97.78,95.86,97.52,76501103
2023-01-24,96.93,98.09,96.0,96.32,66929452
2023-01-25,92.56,97.24,91.52,97.18,94261570
2023-01-26,98.235,99.49,96.92,99.22,68523557
2023-01-27,99.53,103.485,99.53,102.24,87775614
2023-01-30,101.09,101.74,99.01,100.55,70691860
2023-01-31,101.155,103.3484,101.14,103.13,66527253
2023-02-01,102.53,106.24,101.24,105.15,80450121
